original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"European Knowledge Centre Mosquito Way,Hatfield Hertfordshire,AL10 9SN",2054,5,51.7672633,-0.2425006,"Mosquito Way, Welwyn Hatfield, AL10 9SN, United Kingdom",,Mosquito Way,Mosquito Way,AL10 9SN,,Hatfield Business Park,HRT,Welwyn Hatfield,Hertfordshire,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"European Knowledge Centre,Mosquito Way,Hatfield Hertfordshire,AL10 9SN",2055,5,51.7672633,-0.2425006,"Mosquito Way, Welwyn Hatfield, AL10 9SN, United Kingdom",,Mosquito Way,Mosquito Way,AL10 9SN,,Hatfield Business Park,HRT,Welwyn Hatfield,Hertfordshire,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Euston House,24 Eversholt St.,London NW1 1AD",2056,5,51.5287778,-0.1320819,"Pizza Pilgrims, 24 Eversholt Street, London, NW1 1AD, United Kingdom",24,Pizza Pilgrims,Eversholt Street,NW1 1AD,London Borough of Camden,Somers Town,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Evesham House,Whittington Hall,Whittington Rd.,Worcester,WR5 2ZX",2057,5,52.1799833,-2.1893663,"Whittington Road, Worcester, WR5 2JY, United Kingdom",,Whittington Road,Whittington Road,WR5 2JY,,Nunnery Wood,WOR,Worcester,Worcestershire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Exchange Tower,1 Harbour Exchange Sq.,London,E14 9GE",2058,5,51.49885345,-0.014322495858097901,"1-2 Harbour Exchange Square, London, E14 9HE, United Kingdom",1-2,,Harbour Exchange Square,E14 9HE,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5670000000000001,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Exeter,Devon",2059,5,50.7255794,-3.5269497,"Exeter, ENG, United Kingdom",,,,,,,DEV,Exeter,Devon,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"F3 Bramingham Business Park,Enterprise Way,Luton,Bedfordshire,LU3 4BU",2060,5,51.9218349,-0.4312502,"Enterprise Way, Luton, LU3 4EG, United Kingdom",,Enterprise Way,Enterprise Way,LU3 4EG,,Warden Hill,,Luton,Borough of Luton,England,ENG,United Kingdom,gb,0.44099999999999995,0.7290000000000001,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"F3 Bramingham Business Park,Enterprise Way,Luton,Beds.LU3 2BU",2061,5,52.928744,-1.467385,"Enterprise Way, Derby, United Kingdom",,,Enterprise Way,,,,DBY,Derby,Derbyshire,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"F3 Bramingham Business Park.Enterprise Way,Luton,Beds.LU3 2BU",2062,5,51.920359,-0.431637,"Bramingham Business Park, Luton, United Kingdom",,,Bramingham Business Park,,,,BDF,Luton,Bedford,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fanuc House,No.1 Station Approach Ruislip,Middlesex HA4 8LF",2063,5,51.5554102,-0.4005544,"Station Approach, London, HA4 6RT, United Kingdom",,Station Approach,Station Approach,HA4 6RT,London Borough of Hillingdon,,,London,Greater London,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Festival Dr.,Victoria Business Park,Ebbw Vale NP23 8XS",2064,5,51.657778,-3.442596,"Oaklands Business Park, Ferndale, United Kingdom",,,Oaklands Business Park,,Ferndale Community,,RCT,Ferndale,Rhondda Cynon Taf,Wales,WLS,United Kingdom,gb,0,0.125,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Festival Dr.,Victoria Business Park,Ebbw Vale,Gwent,NP23 8XS",2065,5,51.657778,-3.442596,"Oaklands Business Park, Ferndale, United Kingdom",,,Oaklands Business Park,,Ferndale Community,,RCT,Ferndale,Rhondda Cynon Taf,Wales,WLS,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Festival Dr.,Victoria Business Park,Ebbw Vale,NP23 8XS",2066,5,51.657778,-3.442596,"Oaklands Business Park, Ferndale, United Kingdom",,,Oaklands Business Park,,Ferndale Community,,RCT,Ferndale,Rhondda Cynon Taf,Wales,WLS,United Kingdom,gb,0,0.125,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Field Fisher Waterhouse 41 Vine St.,London EC3N 2AA",2067,5,51.5116527,-0.0758517,"Vine Street, City of London, EC3N 2LJ, United Kingdom",,Vine Street,Vine Street,EC3N 2LJ,,Aldgate,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Field Place Estate,Broadbridge Heath,Horsham,West Sussex,RH12 3PB",2068,5,51.077862,-0.364998,"Field Place Estate, Horsham, RH12 3PB, United Kingdom",,,Field Place Estate,RH12 3PB,Warnham,Field Place Estate,WSX,Horsham,West Sussex,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Finance Associates,Boundary House,91 Charterhouse St.,London,EC1M 6HR",2069,5,51.5200255,-0.10128560905452173,"91 Charterhouse Street, City of London, EC1M 6HR, United Kingdom",91,,Charterhouse Street,EC1M 6HR,London Borough of Islington,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Findel House,5 Excelsior Rd.,Ashby Park,Ashby de la Zouch,Leicestershire,LE65 1NG",2070,5,52.7493654,-1.4509832,"Excelsior Road, North West Leicestershire, LE65 1NU, United Kingdom",,Excelsior Road,Excelsior Road,LE65 1NU,,Ashby Park,LEC,North West Leicestershire,Leicestershire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Finsbury Circus House 12/15 Finsbury Circus,London EC2M 7BT",2071,5,51.5180861,-0.08809,"Finsbury Circus, City of London, EC2M 6UR, United Kingdom",,Finsbury Circus,Finsbury Circus,EC2M 6UR,,Barbican,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Finsbury Circus House,12-15 Finsbury Circus,London EC2M 7BT",2072,5,51.5180861,-0.08809,"Finsbury Circus, City of London, EC2M 6UR, United Kingdom",,Finsbury Circus,Finsbury Circus,EC2M 6UR,,Barbican,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Finsbury Circus House,12-15 Finsbury Circus,London,EC2M 7BT",2073,5,51.5180861,-0.08809,"Finsbury Circus, City of London, EC2M 6UR, United Kingdom",,Finsbury Circus,Finsbury Circus,EC2M 6UR,,Barbican,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Finsbury Court 111-117 Finsbury Pavement,London EC2A 1EQ",2074,5,51.5194257,-0.0876097,"Finsbury Pavement, London, EC2A 1RS, United Kingdom",,Finsbury Pavement,Finsbury Pavement,EC2A 1RS,London Borough of Islington,Finsbury,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Finsbury Dials,20 Finsbury St.,London EC2Y 9AY",2075,5,51.5197423,-0.088862,"Finsbury Street, London, EC1Y 4UQ, United Kingdom",,Finsbury Street,Finsbury Street,EC1Y 4UQ,London Borough of Islington,Finsbury,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"First Fl.,Southside,97-105 Victoria St.,London SW1E 6QT",2076,5,51.4983171,-0.1322111,"London, SW1E 6QT, United Kingdom",,,,SW1E 6QT,,,,City of Westminster,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Five Chancery Lane,Clifford's Inn,London EC4A 1BU",2077,5,51.514476,-0.110874,"Orega Chancery Lane, 5 Chancery Lane, London, WC2A 1LG, United Kingdom",5,Orega Chancery Lane,Chancery Lane,WC2A 1LG,City of London,Holborn,,London,London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Five Chancery Lane,Clifford's Inn,London,EC4A 1BU",2078,5,51.514476,-0.110874,"Orega Chancery Lane, 5 Chancery Lane, London, WC2A 1LG, United Kingdom",5,Orega Chancery Lane,Chancery Lane,WC2A 1LG,City of London,Holborn,,London,London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fl.9A,1 Minster Court,Mincing Lane,London,EC3R 7YA",2079,5,51.5108908,-0.0811851,"Agenda, 1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",1,Agenda,Mincing Lane,EC3R 7AA,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fl.9A,Minster Court,Mincing Lane,London,EC3R 7YA",2080,5,51.5109018,-0.0814788,"Mincing Lane, City of London, EC3R 7AE, United Kingdom",,Mincing Lane,Mincing Lane,EC3R 7AE,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fl.9A,No.1 Minster Court,Mincing Lane,London,EC3R 7YA",2081,5,51.510585250000005,-0.08092281428331233,"1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",1,,Mincing Lane,EC3R 7AA,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fl.9A,No.1,Minster Court,Mincing Lane,London EC3R 7AA",2082,5,51.510585250000005,-0.08092281428331233,"1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",1,,Mincing Lane,EC3R 7AA,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fl.9A,No.1,Minster Court,Mincing Lane,London EC3R 7YA",2083,5,51.510585250000005,-0.08092281428331233,"1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",1,,Mincing Lane,EC3R 7AA,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fl.9A,No.1,Minster Court,Mincing Lane,London,EC3R 7YA",2084,5,51.510585250000005,-0.08092281428331233,"1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",1,,Mincing Lane,EC3R 7AA,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Flagship Sq.,Shawcross Bisiness Park Duesbury WF12 7TH",2085,5,53.094861,-1.334774,"The Duesbury, Pinxton, United Kingdom",,,The Duesbury,,Pinxton,,DBY,Pinxton,Derbyshire,England,ENG,United Kingdom,gb,0.02050551797792808,0.08,0.07200000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Flagship Sq.,Shawcross Bisiness Park Duesbury,WF12 7TH",2086,5,53.094861,-1.334774,"The Duesbury, Pinxton, United Kingdom",,,The Duesbury,,Pinxton,,DBY,Pinxton,Derbyshire,England,ENG,United Kingdom,gb,0.4846153846153846,0.07058823529411765,0.06352941176470589,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Flagship Sq.,Shawcross Business Park Dewsbury,WF12 7TH",2087,5,53.676866,-1.620667,"Bretton Park Business Park, Dewsbury, WF12 7TH, United Kingdom",,,Bretton Park Business Park,WF12 7TH,,,KIR,Dewsbury,Kirklees,England,ENG,United Kingdom,gb,0.1111111111111111,1,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Flat 17 Hillcrest Heights,18-20 Hillcrest Rd.,Ealing,London W5 1HJ",2088,5,51.5240341,-0.2958303,"Hillcrest Road, London, W5 1HJ, United Kingdom",,Hillcrest Road,Hillcrest Road,W5 1HJ,London Borough of Ealing,Park Royal,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Flat 6,23 Lexham Gardens W8 5JJ,London",2089,5,51.4957283,-0.1896493,"23 Lexham Gardens, London, W8 5JU, United Kingdom",23,,Lexham Gardens,W8 5JU,Royal Borough of Kensington and Chelsea,Earl's Court,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Flat F,Rosecourt,11 Mattock Lane,Ealing,London W5",2090,5,51.5114878,-0.3088996257281663,"11 Mattock Lane, London, W5 5BG, United Kingdom",11,,Mattock Lane,W5 5BG,London Borough of Ealing,,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Flowers Bldg.,Armstrong Rd.,South Kensington,London,SW7 2AZ",2091,5,51.4989595,-0.1756406,"London, SW7 2AZ, United Kingdom",,,,SW7 2AZ,,,,City of Westminster,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fordrough Lane,Bordesley Green,Birmingham B9 5LD",2092,5,52.4806851,-1.8503891399999999,"Birmingham, B9 5LD, United Kingdom",,,,B9 5LD,,,,Birmingham,West Midlands Combined Authority,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forest View,Crockford Lane,Chineham Business Park,Basingstoke,Hampshire RG24 8QZ",2093,5,51.2891939,-1.0699429,"Crockford Lane, Basingstoke and Deane, RG24 8QZ, United Kingdom",,Crockford Lane,Crockford Lane,RG24 8QZ,,Popley,HAM,Basingstoke and Deane,Hampshire,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Formans Rd.,Sparkhill Birmingham B11 3DA",2094,5,52.4480026,-1.8553048,"Formans Road, Birmingham, B11 3AX, United Kingdom",,Formans Road,Formans Road,B11 3AX,,,,Birmingham,West Midlands Combined Authority,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fort Dunlop,Erdington,Birmingham B24 9QT",2095,5,52.510118899999995,-1.8112669117038849,"Fort Dunlop, Fort Parkway, Birmingham, B24 9FE, United Kingdom",,Fort Dunlop,Fort Parkway,B24 9FE,,,,Birmingham,West Midlands Combined Authority,England,ENG,United Kingdom,gb,0.7,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forum House 41-51Fl.,Brighton Rd.,Redhill Surrey RH1 6YS",2096,5,51.23561,-0.17077,"Reigate and Banstead, RH1 6YS, United Kingdom",,,,RH1 6YS,,,SRY,Reigate and Banstead,Surrey,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forum House 41-51st Fl.,Brighton Rd.,Redhill Surrey RH1 6YS",2097,5,51.23561,-0.17077,"Reigate and Banstead, RH1 6YS, United Kingdom",,,,RH1 6YS,,,SRY,Reigate and Banstead,Surrey,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forum1,Station Rd.,Theale,Reading,Berkshire,RG7 4RA",2098,5,51.4336997,-1.0767437,"Theale, RG7 4RA, United Kingdom",,,,RG7 4RA,,,WBK,Theale,West Berkshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forward House,Davy Way,Llay Ind.Estate,Llay,Wrexham,LL12 0PG",2099,5,53.1028991,-3.0113806,"Davy Way, Llay, LL12 0PG, United Kingdom",,Davy Way,Davy Way,LL12 0PG,Llay Community,Llay,WRX,Llay,Wrexham,Wales,WLS,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forward House,Davy Way,Llay,Wrexham,Clwyd LL12 0PG",2100,5,53.102938,-3.011316,"Davy Way, Llay Community, United Kingdom",,,Davy Way,,Llay Community,,DEN,Llay Community,Denbighshire,Wales,WLS,United Kingdom,gb,0.5,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forward House,Davy Way,Llay,Wrexham,Clwyd LL12 OPG",2101,5,53.1028991,-3.0113806,"Davy Way, Llay, LL12 0PG, United Kingdom",,Davy Way,Davy Way,LL12 0PG,Llay Community,Llay,WRX,Llay,Wrexham,Wales,WLS,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Forward House,Davy Way,Llay,Wrexham,LL12 0PG",2102,5,53.1028991,-3.0113806,"Davy Way, Llay, LL12 0PG, United Kingdom",,Davy Way,Davy Way,LL12 0PG,Llay Community,Llay,WRX,Llay,Wrexham,Wales,WLS,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fourth Way,Avonmouth Bristol,BS11 8DY",2103,5,51.5012973,-2.6785357,"Fourth Way, Bristol, BS11 8DL, United Kingdom",,Fourth Way,Fourth Way,BS11 8DL,,Avonmouth,BST,Bristol,City of Bristol,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Froward House,Davy Way,Llay,Wrexham,LL12 OPG",2104,5,53.1028991,-3.0113806,"Davy Way, Llay, LL12 0PG, United Kingdom",,Davy Way,Davy Way,LL12 0PG,Llay Community,Llay,WRX,Llay,Wrexham,Wales,WLS,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fuji Film House,125 Finchley Rd.,Swiss Cottage,London NW3 6HY",2105,5,51.5432208,-0.1754165,"Overground House, 125 Finchley Road, London, NW3 6HY, United Kingdom",125,Overground House,Finchley Road,NW3 6HY,London Borough of Camden,Belsize Park,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fuji Film House,125 Finchley Rd.,Swiss Cottage,London NW3 6JH",2106,5,51.5432208,-0.1754165,"Overground House, 125 Finchley Road, London, NW3 6HY, United Kingdom",125,Overground House,Finchley Road,NW3 6HY,London Borough of Camden,Belsize Park,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Fujifilm House,125 Finchley Rd.,Swiss Cottage,London,NW3 6HY",2107,5,51.5432208,-0.1754165,"Overground House, 125 Finchley Road, London, NW3 6HY, United Kingdom",125,Overground House,Finchley Road,NW3 6HY,London Borough of Camden,Belsize Park,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Furukawa House 77-85 Fulham Palace Rd.,London W6 8JD",2108,5,51.4861848,-0.2205645,"Fulham Palace Road, London, W6 8QT, United Kingdom",,Fulham Palace Road,Fulham Palace Road,W6 8QT,London Borough of Hammersmith and Fulham,Brook Green,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Furukawa House,77-85 Fulham Palace Rd.,London W6 8JD",2109,5,51.4861848,-0.2205645,"Fulham Palace Road, London, W6 8QT, United Kingdom",,Fulham Palace Road,Fulham Palace Road,W6 8QT,London Borough of Hammersmith and Fulham,Brook Green,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Furukawa House,No.2 Farriers Yard,London W6 8AH",2110,5,51.49006475,-0.22141737815207072,"No.1 Farriers Yard, 77 Fulham Palace Road, London, W6 8JA, United Kingdom",77,No.1 Farriers Yard,Fulham Palace Road,W6 8JA,London Borough of Hammersmith and Fulham,Brook Green,,London,Greater London,England,ENG,United Kingdom,gb,0.05833333333333333,1,0.16666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Galabank Business Park,Galashiels,Selkirkshire TD1 1QH",2111,5,55.62157,-2.8205,"Galashiels, TD1 1QH, United Kingdom",,,,TD1 1QH,,,SCB,Galashiels,Scottish Borders,Scotland,SCT,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Gallery 9,One Lime St.,London EC3M 7HA",2112,5,51.5129645,-0.0824072,"City of London, EC3M 7HA, United Kingdom",,,,EC3M 7HA,,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Gallions,Wexham Springs,Framewood Rd.,Wexham SL3 6PJ",2113,5,51.547206,-0.5697258,"Framewood Road, Stoke Poges, SL3 6PG, United Kingdom",,Framewood Road,Framewood Road,SL3 6PG,Wexham and Ivers Community Board,Wexham,BKM,Stoke Poges,Buckinghamshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Gallions,Wexham Springs,Framewood Rd.,Wexham,SL3 6PJ",2114,5,51.547206,-0.5697258,"Framewood Road, Stoke Poges, SL3 6PG, United Kingdom",,Framewood Road,Framewood Road,SL3 6PG,Wexham and Ivers Community Board,Wexham,BKM,Stoke Poges,Buckinghamshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garamonde Dr.,Wymbush,Milton Keynes MK8 8LW",2115,5,52.0438486,-0.7977282,"Garamonde Drive, Milton Keynes, MK8 8LF, United Kingdom",,Garamonde Drive,Garamonde Drive,MK8 8LF,,Wymbush,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.5103,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garamonde Dr.,Wymbush,Milton Keynes,MK8 8LW",2116,5,52.0438486,-0.7977282,"Garamonde Drive, Milton Keynes, MK8 8LF, United Kingdom",,Garamonde Drive,Garamonde Drive,MK8 8LF,,Wymbush,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.5103,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garamonde Drive,Wymbush,Milton Keynes,MK8 8LW",2117,5,52.0438486,-0.7977282,"Garamonde Drive, Milton Keynes, MK8 8LF, United Kingdom",,Garamonde Drive,Garamonde Drive,MK8 8LF,,Wymbush,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.5103,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garden House,18 Finsbury Circus,London EC2M 7AT",2118,5,51.5182972,-0.0850575,"Hugo Boss, 16-18 Finsbury Circus, City of London, EC2M 7EB, United Kingdom",16-18,Hugo Boss,Finsbury Circus,EC2M 7EB,Bishopsgate Without,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.45927000000000007,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garden House,18,Finsbury Circus,London EC2",2119,5,51.5182972,-0.0850575,"Hugo Boss, 16-18 Finsbury Circus, City of London, EC2M 7EB, United Kingdom",16-18,Hugo Boss,Finsbury Circus,EC2M 7EB,Bishopsgate Without,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.45927000000000007,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garrick Ind.Center,Garrick Rd.,Hendon,London NM9 9AP",2120,5,51.580806,-0.241613,"Garrick Road, London, United Kingdom",,,Garrick Road,,Barnet,Hendon,,London,London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garrick Industrial Center,Garrick Rd.,Hendon,London NM9 9AP",2121,5,51.618906550000005,-0.17777669004122756,"7 Frederick's Place, London, N12 8QE, United Kingdom",7,,Frederick's Place,N12 8QE,London Borough of Barnet,North Finchley,,London,Greater London,England,ENG,United Kingdom,gb,0.32727272727272727,1,0.36363636363636365,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garsington Rd.,Cowley,Oxford OX4 2PG",2122,5,51.729688,-1.1848676,"Oxford, OX4 2PG, United Kingdom",,,,OX4 2PG,,,OXF,Oxford,Oxfordshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Garsington Rd.,Cowley,Oxford,OX4 2BW",2123,5,51.73443,-1.17836,"Oxford, OX4 2BW, United Kingdom",,,,OX4 2BW,,,OXF,Oxford,Oxfordshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Gartmore House,PO Box 65,16-18 Monument,London EC3R 8QQ",2124,5,51.50455425,-0.12591397129997825,"Banqueting House, Whitehall Gardens, London, SW1A 2ET, United Kingdom",,Banqueting House,Whitehall Gardens,SW1A 2ET,,Covent Garden,,City of Westminster,Greater London,England,ENG,United Kingdom,gb,0,0.16666666666666666,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
